# Punting
# PID,TID,Season,Week,Punt,Yds,Avg,Long,In20,FC,TB,Blk
PITPP0093,CLE,2001,3,5,192,38.4,49,2,1,0,0
MINPP0076,SDG,2001,3,6,241,40.2,49,0,0,0,0
HOUPP0160,MIA,2001,3,3,123,41.0,52,0,1,0,0
DENPP0109,CAR,2001,3,7,315,45.0,57,3,2,1,0
DENPP0142,MIN,2001,3,1,37,37.0,37,1,0,0,0
SEAPP0080,DEN,2001,3,6,279,46.5,58,2,0,2,0
NYGPP0143,SEA,2001,3,4,179,44.8,56,1,1,0,0
CLEPP0101,ARI,2001,4,6,245,40.8,49,2,3,0,0
WASPP0147,GNB,2001,4,4,182,45.5,58,2,0,0,0
CLEPP0080,BAL,2001,4,6,257,42.8,51,1,0,4,1
NYJPP0063,NOR,2001,4,3,124,41.3,46,2,0,1,0
TENPP0098,PIT,2001,4,2,69,34.5,40,0,1,0,0
CLEPP0175,CHI,2001,4,4,171,42.8,55,2,0,2,0
NYGPP0015,NYG,2001,4,4,172,43.0,59,1,1,1,0
NWEPP0144,JAC,2001,4,4,178,44.5,58,2,0,0,0
BUFPP0208,BUF,2001,4,3,147,49.0,56,1,0,0,0
CARPP0176,SFO,2001,4,6,229,38.2,44,1,1,1,0
DETPP0191,CIN,2001,4,7,272,38.9,46,1,2,1,0
STLPP0016,STL,2001,4,3,114,38.0,50,0,3,0,0
HOUPP0193,OAK,2001,4,3,140,46.7,50,0,0,0,0
DENPP0059,DAL,2001,4,3,128,42.7,45,1,0,0,0
HOUPP0160,MIA,2001,4,4,163,40.8,60,3,0,0,0
MINPP0076,SDG,2001,4,7,285,40.7,50,3,1,0,0
PHIPP0080,PHI,2001,4,5,207,41.4,64,0,1,1,0
JACPP0048,TAM,2001,4,6,268,44.7,54,2,1,2,0
ATLPP0064,ATL,2001,4,3,103,34.3,42,1,1,0,0
NYJPP0048,KAN,2001,4,4,185,46.3,52,1,1,1,0
WASPP0064,NYJ,2001,4,6,197,32.8,58,4,1,0,0
PHIPP0032,NWE,2001,4,5,224,44.8,62,0,0,1,0
STLPP0080,WAS,2001,4,5,204,40.8,56,2,1,0,0
PITPP0093,CLE,2001,4,6,266,44.3,49,0,1,0,0
DENPP0142,MIN,2001,4,4,190,47.5,67,0,0,0,0
DENPP0109,CAR,2001,4,5,235,47.0,61,1,0,2,0
TENPP0129,TEN,2001,4,10,402,40.2,55,2,1,1,0
DETPP0036,DET,2001,4,5,191,38.2,52,0,0,1,0
SEAPP0080,DEN,2001,4,5,245,49.0,58,2,0,0,0
NYGPP0143,SEA,2001,4,6,235,39.2,48,1,0,1,0
CLEPP0101,ARI,2001,5,6,223,37.2,53,2,1,1,0
WASPP0147,GNB,2001,5,4,157,39.3,55,0,0,0,0
CLEPP0080,BAL,2001,5,4,165,41.3,48,3,2,0,0
NYJPP0063,NOR,2001,5,8,348,43.5,57,2,1,1,0
TENPP0098,PIT,2001,5,5,221,44.2,60,0,0,0,1
CLEPP0175,CHI,2001,5,4,179,44.8,48,1,0,0,0
WASPP0156,IND,2001,5,6,268,44.7,59,2,2,2,0
NYGPP0015,NYG,2001,5,8,319,39.9,59,1,1,1,0
DETPP0191,CIN,2001,5,4,157,39.3,57,2,0,0,0
CARPP0176,SFO,2001,5,4,197,49.3,54,2,0,0,0
STLPP0016,STL,2001,5,5,227,45.4,55,1,0,1,0
DENPP0059,DAL,2001,5,4,145,36.3,45,2,1,1,0
HOUPP0193,OAK,2001,5,5,262,52.4,59,2,0,1,0
HOUPP0160,MIA,2001,5,3,120,40.0,45,2,1,0,0
MINPP0076,SDG,2001,5,4,172,43.0,52,2,1,0,0
ATLPP0064,ATL,2001,5,5,216,43.2,53,2,4,0,0
JACPP0048,TAM,2001,5,6,211,35.2,45,1,1,0,0
NYJPP0048,KAN,2001,5,7,294,42.0,55,5,2,0,0
PHIPP0032,NWE,2001,5,4,155,38.8,49,0,0,0,0
WASPP0064,NYJ,2001,5,5,193,38.6,46,1,1,0,0
STLPP0080,WAS,2001,5,7,279,39.9,56,4,3,0,0
PITPP0093,CLE,2001,5,8,367,45.9,55,1,0,2,0
DENPP0142,MIN,2001,5,3,127,42.3,47,0,0,1,0
DENPP0109,CAR,2001,5,6,227,37.8,52,3,1,0,0
TENPP0129,TEN,2001,5,3,155,51.7,56,2,0,0,0
DETPP0036,DET,2001,5,2,82,41.0,45,0,0,1,0
SEAPP0080,DEN,2001,5,4,182,45.5,50,1,1,0,1
NYGPP0143,SEA,2001,5,3,133,44.3,47,0,0,0,0
CLEPP0080,BAL,2001,6,5,221,44.2,55,2,2,1,0
CLEPP0101,ARI,2001,6,5,222,44.4,54,1,1,0,0
NYJPP0063,NOR,2001,6,6,242,40.3,49,2,1,0,0
NWEPP0094,NWE,2001,6,3,109,36.3,41,1,2,0,0
CLEPP0175,CHI,2001,6,3,145,48.3,53,1,0,1,0
WASPP0147,GNB,2001,6,5,226,45.2,48,1,1,1,0
WASPP0156,IND,2001,6,2,86,43.0,52,1,1,0,0
DETPP0191,CIN,2001,6,7,287,41.0,47,2,0,0,0
BUFPP0208,BUF,2001,6,4,148,37.0,64,2,2,1,0
STLPP0016,STL,2001,6,2,103,51.5,55,1,0,1,0
NWEPP0144,JAC,2001,6,5,225,45.0,54,1,1,1,0
NYGPP0015,NYG,2001,6,6,256,42.7,60,1,0,0,0
TENPP0098,PIT,2001,6,2,76,38.0,39,1,0,0,0
MINPP0076,SDG,2001,6,5,212,42.4,51,2,2,1,0
JACPP0048,TAM,2001,6,5,220,44.0,52,2,1,0,0
STLPP0080,WAS,2001,6,6,279,46.5,53,1,0,1,0
PHIPP0080,PHI,2001,6,6,266,44.3,49,2,0,1,0
ATLPP0064,ATL,2001,6,4,142,35.5,42,0,3,0,0
NYJPP0048,KAN,2001,6,5,214,42.8,51,3,0,0,0
PITPP0093,CLE,2001,6,8,375,46.9,69,1,1,1,0
SEAPP0080,DEN,2001,6,6,270,45.0,59,2,0,0,0
DENPP0109,CAR,2001,6,6,335,55.8,72,4,1,1,0
DENPP0142,MIN,2001,6,3,130,43.3,49,0,1,1,0
TENPP0129,TEN,2001,6,6,252,42.0,52,1,2,2,0
DETPP0036,DET,2001,6,5,209,41.8,45,3,2,0,0
WASPP0064,NYJ,2001,6,6,272,45.3,53,1,2,1,0
WASPP0156,IND,2001,7,5,239,47.8,54,0,1,0,0
NYGPP0015,NYG,2001,7,6,221,36.8,45,0,0,2,0
CLEPP0101,ARI,2001,7,3,129,43.0,46,0,0,1,0
CLEPP0080,BAL,2001,7,5,162,32.4,43,3,2,0,0
NWEPP0094,NWE,2001,7,2,91,45.5,54,1,0,1,0
NYJPP0063,NOR,2001,7,4,170,42.5,50,2,2,0,0
NWEPP0144,JAC,2001,7,3,130,43.3,45,2,0,0,0
HOUPP0193,OAK,2001,7,5,228,45.6,59,4,1,0,0
BUFPP0208,BUF,2001,7,4,164,41.0,44,2,2,1,0
CARPP0176,SFO,2001,7,3,129,43.0,47,0,0,0,0
DETPP0191,CIN,2001,7,3,137,45.7,51,1,2,0,0
STLPP0016,STL,2001,7,1,36,36.0,36,0,0,0,0
DENPP0059,DAL,2001,7,5,215,43.0,48,1,0,1,0
CLEPP0175,CHI,2001,7,5,203,40.6,60,3,0,1,0
TENPP0098,PIT,2001,7,3,135,45.0,56,2,1,0,0
JACPP0048,TAM,2001,7,2,83,41.5,54,0,0,0,0
STLPP0080,WAS,2001,7,6,231,38.5,47,1,2,0,0
PHIPP0080,PHI,2001,7,8,368,46.0,53,0,4,0,0
NYJPP0048,KAN,2001,7,6,244,40.7,48,3,1,1,0
WASPP0064,NYJ,2001,7,8,297,37.1,49,5,1,0,0
SEAPP0080,DEN,2001,7,4,182,45.5,54,1,1,1,0
DETPP0036,DET,2001,7,4,193,48.3,52,0,1,0,0
MINPP0076,SDG,2001,7,4,167,41.8,47,0,0,0,0
HOUPP0160,MIA,2001,7,2,90,45.0,46,0,0,1,0
DENPP0109,CAR,2001,7,10,445,44.5,63,4,2,0,1
DENPP0142,MIN,2001,7,5,214,42.8,51,0,0,1,0
TENPP0129,TEN,2001,7,4,186,46.5,52,2,1,0,0
NYGPP0143,SEA,2001,7,3,146,48.7,49,0,1,0,0
CLEPP0101,ARI,2001,8,9,373,41.4,54,2,3,1,0
WASPP0147,GNB,2001,8,7,310,44.3,57,0,3,1,0
CLEPP0080,BAL,2001,8,7,290,41.4,56,2,0,0,0
NYJPP0063,NOR,2001,8,7,304,43.4,52,4,3,0,0
CLEPP0175,CHI,2001,8,4,189,47.3,52,2,0,0,0
NWEPP0094,NWE,2001,8,6,241,40.2,55,1,2,1,0
WASPP0156,IND,2001,8,7,309,44.1,51,0,0,2,0
NYGPP0015,NYG,2001,8,5,256,51.2,62,1,0,0,0
BUFPP0208,BUF,2001,8,6,262,43.7,53,2,0,1,0
CARPP0176,SFO,2001,8,1,26,26.0,26,1,1,0,0
DENPP0059,DAL,2001,8,5,221,44.2,57,1,1,2,1
HOUPP0193,OAK,2001,8,2,86,43.0,47,1,0,0,0
NWEPP0144,JAC,2001,8,5,221,44.2,51,2,2,0,0
TENPP0098,PIT,2001,8,5,262,52.4,64,1,0,1,0
HOUPP0160,MIA,2001,8,4,151,37.8,44,0,0,1,0
PHIPP0080,PHI,2001,8,10,476,47.6,60,1,0,4,0
JACPP0048,TAM,2001,8,9,372,41.3,46,4,2,0,0
ATLPP0064,ATL,2001,8,6,227,37.8,47,2,2,1,0
NYJPP0048,KAN,2001,8,6,217,36.2,50,3,2,0,0
WASPP0064,NYJ,2001,8,2,79,39.5,45,0,0,0,0
STLPP0080,WAS,2001,8,4,168,42.0,50,1,0,0,0
PITPP0093,CLE,2001,8,8,316,39.5,54,3,2,2,0
DENPP0109,CAR,2001,8,7,366,52.3,73,2,1,2,0
MINPP0076,SDG,2001,8,5,217,43.4,60,0,0,0,0
TENPP0129,TEN,2001,8,4,230,57.5,63,2,0,0,0
DETPP0036,DET,2001,8,4,201,50.3,56,2,0,0,0
SEAPP0080,DEN,2001,8,2,80,40.0,48,1,1,0,0
NYGPP0143,SEA,2001,8,4,189,47.3,51,1,1,1,0
WASPP0156,IND,2001,9,6,261,43.5,54,1,1,1,0
HOUPP0080,ARI,2001,9,5,204,40.8,54,1,1,0,0
WASPP0147,GNB,2001,9,4,165,41.3,49,2,1,1,0
CLEPP0080,BAL,2001,9,5,199,39.8,51,2,3,0,0
NWEPP0094,NWE,2001,9,3,114,38.0,58,1,1,0,0
NYJPP0063,NOR,2001,9,3,131,43.7,50,1,1,0,0
NWEPP0144,JAC,2001,9,8,359,44.9,59,4,3,1,0
HOUPP0193,OAK,2001,9,3,138,46.0,57,2,1,1,0
BUFPP0208,BUF,2001,9,5,136,27.2,39,0,1,1,0
CARPP0176,SFO,2001,9,6,260,43.3,64,2,1,1,0
DETPP0191,CIN,2001,9,7,327,46.7,57,3,1,0,0
STLPP0016,STL,2001,9,2,75,37.5,39,1,0,0,0
DENPP0059,DAL,2001,9,4,173,43.3,54,1,1,0,0
CLEPP0175,CHI,2001,9,5,233,46.6,55,2,1,0,0
TENPP0098,PIT,2001,9,4,187,46.8,61,2,1,0,0
JACPP0048,TAM,2001,9,7,319,45.6,61,2,0,1,0
PITPP0093,CLE,2001,9,9,376,41.8,50,5,2,0,0
PHIPP0080,PHI,2001,9,2,61,30.5,36,2,2,0,0
ATLPP0064,ATL,2001,9,4,131,32.8,39,1,1,0,0
WASPP0064,NYJ,2001,9,4,141,35.3,43,1,0,0,0
NYJPP0048,KAN,2001,9,6,234,39.0,45,3,1,0,0
SEAPP0080,DEN,2001,9,6,319,53.2,62,5,0,0,0
DETPP0036,DET,2001,9,7,316,45.1,55,1,1,0,0
MINPP0076,SDG,2001,9,5,279,55.8,62,1,0,2,0
HOUPP0160,MIA,2001,9,6,266,44.3,51,2,2,0,0
DENPP0109,CAR,2001,9,7,326,46.6,64,0,2,2,0
DENPP0142,MIN,2001,9,4,148,37.0,50,2,1,0,0
TENPP0129,TEN,2001,9,7,287,41.0,58,2,1,1,0
NYGPP0143,SEA,2001,9,4,156,39.0,55,2,3,1,0
WASPP0156,IND,2001,10,5,203,40.6,57,1,2,0,0
NYGPP0015,NYG,2001,10,3,149,49.7,62,0,0,0,0
WASPP0147,GNB,2001,10,4,191,47.8,55,2,0,0,0
CLEPP0080,BAL,2001,10,2,88,44.0,46,0,1,0,0
NWEPP0094,NWE,2001,10,4,164,41.0,57,1,1,0,0
NYJPP0063,NOR,2001,10,2,82,41.0,43,0,0,0,0
HOUPP0080,ARI,2001,10,5,199,39.8,43,1,0,1,0
NWEPP0144,JAC,2001,10,7,326,46.6,51,3,2,0,0
BUFPP0208,BUF,2001,10,3,117,39.0,43,1,2,0,0
CARPP0176,SFO,2001,10,7,344,49.1,59,2,0,0,0
DETPP0191,CIN,2001,10,5,201,40.2,47,1,1,0,0
STLPP0016,STL,2001,10,2,89,44.5,52,2,0,0,0
HOUPP0193,OAK,2001,10,5,239,47.8,63,2,0,0,0
DENPP0059,DAL,2001,10,5,169,33.8,50,0,0,0,0
CLEPP0175,CHI,2001,10,7,347,49.6,57,3,1,0,0
TENPP0098,PIT,2001,10,8,367,45.9,55,5,2,1,0
STLPP0080,WAS,2001,10,8,335,41.9,51,5,1,3,0
PITPP0093,CLE,2001,10,4,196,49.0,56,0,0,1,0
JACPP0048,TAM,2001,10,4,168,42.0,48,0,0,0,0
PHIPP0080,PHI,2001,10,3,141,47.0,54,3,1,0,0
WASPP0064,NYJ,2001,10,8,386,48.3,54,2,0,1,0
ATLPP0064,ATL,2001,10,4,171,42.8,50,1,1,0,0
SEAPP0080,DEN,2001,10,9,354,39.3,54,1,1,0,0
DETPP0036,DET,2001,10,3,148,49.3,62,1,0,0,0
MINPP0076,SDG,2001,10,7,278,39.7,62,3,2,0,0
HOUPP0160,MIA,2001,10,6,243,40.5,47,1,0,0,0
DENPP0109,CAR,2001,10,7,304,43.4,68,4,5,1,0
DENPP0142,MIN,2001,10,2,74,37.0,52,1,1,0,0
TENPP0129,TEN,2001,10,6,270,45.0,60,3,2,2,0
NYGPP0143,SEA,2001,10,4,197,49.3,59,2,0,0,0
WASPP0156,IND,2001,11,3,124,41.3,53,1,1,1,0
NYGPP0015,NYG,2001,11,6,236,39.3,60,2,2,2,0
WASPP0147,GNB,2001,11,4,186,46.5,60,1,0,1,0
CLEPP0080,BAL,2001,11,5,187,37.4,46,1,3,0,0
NWEPP0094,NWE,2001,11,4,172,43.0,45,3,0,0,0
NYJPP0063,NOR,2001,11,3,110,36.7,48,1,2,0,0
HOUPP0080,ARI,2001,11,4,168,42.0,48,1,1,0,0
NWEPP0144,JAC,2001,11,7,283,40.4,49,2,3,1,0
BUFPP0208,BUF,2001,11,6,232,38.7,48,1,0,0,0
CARPP0176,SFO,2001,11,6,255,42.5,52,3,2,0,0
DETPP0191,CIN,2001,11,5,220,44.0,50,3,1,0,0
STLPP0016,STL,2001,11,2,94,47.0,52,0,0,0,0
HOUPP0193,OAK,2001,11,5,227,45.4,64,1,0,1,0
DENPP0059,DAL,2001,11,8,364,45.5,52,0,1,2,0
CLEPP0175,CHI,2001,11,8,345,43.1,55,3,1,0,0
TENPP0098,PIT,2001,11,4,168,42.0,52,0,1,0,0
STLPP0080,WAS,2001,11,7,314,44.9,55,1,1,2,0
PITPP0093,CLE,2001,11,7,325,46.4,54,0,0,2,0
JACPP0048,TAM,2001,11,5,223,44.6,55,0,1,0,0
PHIPP0080,PHI,2001,11,7,334,47.7,60,0,0,0,0
NYJPP0048,KAN,2001,11,4,159,39.8,45,1,1,0,0
ATLPP0064,ATL,2001,11,9,321,35.7,54,1,1,0,0
SEAPP0080,DEN,2001,11,6,279,46.5,56,1,0,1,0
DETPP0036,DET,2001,11,3,145,48.3,50,1,1,1,0
MINPP0076,SDG,2001,11,3,153,51.0,56,2,0,0,0
HOUPP0160,MIA,2001,11,6,280,46.7,77,2,0,2,0
DENPP0109,CAR,2001,11,7,383,54.7,64,2,1,3,0
DENPP0142,MIN,2001,11,8,371,46.4,51,1,0,4,0
TENPP0129,TEN,2001,11,4,150,37.5,48,2,2,0,0
NYGPP0143,SEA,2001,11,7,299,42.7,51,4,1,1,0
WASPP0147,GNB,2001,12,7,328,46.9,68,0,3,2,0
WASPP0156,IND,2001,12,7,259,37.0,49,1,1,1,0
CLEPP0080,BAL,2001,12,4,148,37.0,46,1,0,1,0
NYJPP0063,NOR,2001,12,5,208,41.6,53,0,2,1,0
CLEPP0175,CHI,2001,12,4,182,45.5,53,2,2,0,0
NWEPP0094,NWE,2001,12,6,217,36.2,46,2,1,0,0
HOUPP0080,ARI,2001,12,5,180,36.0,44,1,1,0,0
NWEPP0144,JAC,2001,12,6,245,40.8,59,3,2,1,0
BUFPP0208,BUF,2001,12,4,189,47.3,66,0,0,1,0
CARPP0176,SFO,2001,12,1,47,47.0,47,1,0,0,0
DETPP0191,CIN,2001,12,5,192,38.4,50,1,1,1,1
STLPP0016,STL,2001,12,3,125,41.7,51,1,0,1,0
HOUPP0193,OAK,2001,12,5,228,45.6,61,1,0,0,0
DENPP0059,DAL,2001,12,3,115,38.3,43,1,0,0,0
SEAPP0068,DET,2001,12,5,204,40.8,51,1,2,1,0
TENPP0098,PIT,2001,12,4,153,38.3,43,2,2,0,0
JACPP0048,TAM,2001,12,3,114,38.0,50,2,1,0,0
STLPP0080,WAS,2001,12,5,199,39.8,50,2,2,0,0
PHIPP0080,PHI,2001,12,5,157,31.4,52,2,2,0,0
ATLPP0064,ATL,2001,12,2,70,35.0,40,2,1,0,0
WASPP0064,NYJ,2001,12,3,106,35.3,47,0,0,0,0
NYJPP0048,KAN,2001,12,5,186,37.2,43,1,2,1,0
PITPP0093,CLE,2001,12,7,300,42.9,48,1,1,0,0
SEAPP0080,DEN,2001,12,6,286,47.7,61,0,0,1,0
MINPP0076,SDG,2001,12,5,190,38.0,48,2,2,1,0
HOUPP0160,MIA,2001,12,7,300,42.9,59,4,1,0,0
DENPP0109,CAR,2001,12,6,326,54.3,70,2,1,0,0
DENPP0142,MIN,2001,12,3,143,47.7,53,0,0,0,0
TENPP0129,TEN,2001,12,6,222,37.0,53,2,2,0,0
NYGPP0143,SEA,2001,12,7,263,37.6,42,1,1,0,0
WASPP0147,GNB,2001,13,7,287,41.0,52,0,0,2,0
WASPP0156,IND,2001,13,3,158,52.7,60,0,0,2,0
CLEPP0101,ARI,2001,13,5,229,45.8,53,0,0,0,0
NYJPP0063,NOR,2001,13,5,220,44.0,54,3,0,1,0
CLEPP0175,CHI,2001,13,7,276,39.4,59,6,1,1,0
NWEPP0094,NWE,2001,13,3,131,43.7,47,3,2,0,0
NYGPP0015,NYG,2001,13,7,279,39.9,47,3,0,0,0
NWEPP0144,JAC,2001,13,7,277,39.6,50,1,0,2,0
BUFPP0208,BUF,2001,13,6,233,38.8,52,0,1,0,0
CARPP0176,SFO,2001,13,5,199,39.8,52,0,1,1,0
DETPP0191,CIN,2001,13,6,213,35.5,44,4,4,0,0
STLPP0016,STL,2001,13,3,117,39.0,44,0,0,3,0
HOUPP0193,OAK,2001,13,5,222,44.4,49,2,0,0,0
DENPP0059,DAL,2001,13,6,249,41.5,47,4,3,0,0
SEAPP0068,DET,2001,13,5,195,39.0,51,3,1,2,0
TENPP0098,PIT,2001,13,2,69,34.5,35,1,1,0,0
JACPP0048,TAM,2001,13,5,185,37.0,46,1,3,0,0
STLPP0080,WAS,2001,13,4,201,50.3,59,2,0,1,0
PHIPP0080,PHI,2001,13,10,414,41.4,52,4,2,1,0
ATLPP0064,ATL,2001,13,5,257,51.4,55,1,1,0,0
WASPP0064,NYJ,2001,13,5,195,39.0,47,0,0,1,0
NYJPP0048,KAN,2001,13,4,153,38.3,43,3,3,0,0
PITPP0093,CLE,2001,13,5,227,45.4,52,0,0,0,0
SEAPP0080,DEN,2001,13,4,160,40.0,44,2,1,1,0
MINPP0076,SDG,2001,13,7,309,44.1,58,1,1,0,0
HOUPP0160,MIA,2001,13,3,93,31.0,35,3,2,0,0
DENPP0109,CAR,2001,13,5,244,48.8,70,2,1,2,0
DENPP0142,MIN,2001,13,3,125,41.7,48,1,2,1,0
TENPP0129,TEN,2001,13,3,93,31.0,38,1,1,0,0
NYGPP0143,SEA,2001,13,4,195,48.8,54,2,0,0,0
WASPP0147,GNB,2001,14,6,257,42.8,57,3,4,1,0
WASPP0156,IND,2001,14,4,202,50.5,56,0,0,0,0
CLEPP0101,ARI,2001,14,6,239,39.8,51,2,1,1,0
CLEPP0080,BAL,2001,14,4,142,35.5,51,2,1,0,0
NWEPP0094,NWE,2001,14,7,287,41.0,48,5,3,0,0
NYJPP0063,NOR,2001,14,5,236,47.2,54,1,0,0,0
NYGPP0015,NYG,2001,14,7,246,35.1,42,2,0,0,0
NWEPP0144,JAC,2001,14,3,133,44.3,46,0,0,2,0
BUFPP0208,BUF,2001,14,8,328,41.0,58,1,0,1,0
CARPP0176,SFO,2001,14,4,154,38.5,48,0,1,0,0
DETPP0191,CIN,2001,14,4,152,38.0,42,0,0,0,0
STLPP0016,STL,2001,14,4,136,34.0,39,2,3,0,0
HOUPP0193,OAK,2001,14,4,162,40.5,58,1,0,0,0
DENPP0059,DAL,2001,14,7,250,35.7,42,2,3,0,0
CLEPP0175,CHI,2001,14,7,310,44.3,51,1,1,0,0
SEAPP0068,DET,2001,14,7,314,44.9,55,2,0,1,0
PHIPP0080,PHI,2001,14,6,293,48.8,54,0,0,0,0
JACPP0048,TAM,2001,14,8,319,39.9,46,2,1,2,0
ATLPP0064,ATL,2001,14,4,169,42.3,46,3,2,0,0
NYJPP0048,KAN,2001,14,1,50,50.0,50,0,0,0,0
WASPP0064,NYJ,2001,14,3,110,36.7,48,3,1,0,0
PHIPP0032,MIN,2001,14,6,293,48.8,55,1,0,2,0
STLPP0080,WAS,2001,14,6,227,37.8,50,2,2,1,0
PITPP0093,CLE,2001,14,3,82,27.3,33,2,2,0,0
HOUPP0160,MIA,2001,14,6,197,32.8,47,1,1,0,0
TENPP0098,PIT,2001,14,2,83,41.5,45,0,1,0,0
MINPP0076,SDG,2001,14,5,198,39.6,50,2,2,0,0
TENPP0129,TEN,2001,14,4,197,49.3,70,1,0,0,0
SEAPP0080,DEN,2001,14,5,196,39.2,46,1,1,1,0
NYGPP0143,SEA,2001,14,4,188,47.0,58,3,0,0,0
WASPP0147,GNB,2001,15,6,266,44.3,62,1,2,0,0
WASPP0156,IND,2001,15,3,128,42.7,51,2,1,0,0
CLEPP0101,ARI,2001,15,8,331,41.4,51,1,3,1,0
CLEPP0080,BAL,2001,15,7,270,38.6,47,5,2,1,0
NWEPP0094,NWE,2001,15,5,211,42.2,48,2,2,0,0
NYJPP0063,NOR,2001,15,5,189,37.8,43,1,2,1,0
NYGPP0015,NYG,2001,15,7,310,44.3,61,4,1,0,0
NWEPP0144,JAC,2001,15,1,53,53.0,53,0,0,0,0
BUFPP0208,BUF,2001,15,5,210,42.0,53,1,0,0,0
CARPP0176,SFO,2001,15,6,246,41.0,47,3,2,0,0
DETPP0191,CIN,2001,15,8,325,40.6,49,0,0,1,0
STLPP0016,STL,2001,15,2,85,42.5,54,1,0,0,0
HOUPP0193,OAK,2001,15,5,227,45.4,51,4,2,1,0
DENPP0059,DAL,2001,15,4,164,41.0,50,1,0,0,0
CLEPP0175,CHI,2001,15,6,220,36.7,50,2,2,1,0
TENPP0098,PIT,2001,15,1,39,39.0,39,1,1,0,0
PHIPP0080,PHI,2001,15,7,335,47.9,59,1,1,2,0
JACPP0048,TAM,2001,15,3,128,42.7,50,1,0,1,0
ATLPP0064,ATL,2001,15,2,67,33.5,34,2,1,0,0
NYJPP0048,KAN,2001,15,2,80,40.0,41,0,1,0,0
WASPP0064,NYJ,2001,15,1,36,36.0,36,0,0,0,0
PHIPP0032,MIN,2001,15,6,210,35.0,51,3,1,0,0
STLPP0080,WAS,2001,15,6,249,41.5,56,1,1,0,0
